Key;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint;Sprint
499;36;37;38;;;;;;;
500;37;38;;;;;;;;
501;;;;;;;;;;
502;40;41;42;43;44;45;46;47;;
503;37;38;;;;;;;;
504;40;;;;;;;;;
505;37;38;;;;;;;;
506;44;45;;;;;;;;
507;37;38;39;;;;;;;
508;38;39;40;41;42;43;44;45;46;47
509;47;;;;;;;;;
510;38;;;;;;;;;
511;;;;;;;;;;
512;;;;;;;;;;
513;;;;;;;;;;
514;;;;;;;;;;
515;39;;;;;;;;;
516;40;;;;;;;;;
517;38;39;;;;;;;;
518;39;;;;;;;;;
519;38;39;;;;;;;;
520;;;;;;;;;;
521;39;;;;;;;;;
522;;;;;;;;;;
523;41;42;;;;;;;;
524;;;;;;;;;;
525;39;;;;;;;;;
526;40;41;42;43;44;;;;;
527;39;;;;;;;;;
528;40;41;;;;;;;;
529;39;;;;;;;;;
530;39;;;;;;;;;
531;39;;;;;;;;;
532;40;;;;;;;;;
533;40;41;42;;;;;;;
534;41;42;43;44;;;;;;
535;40;;;;;;;;;
536;40;;;;;;;;;
537;;;;;;;;;;
538;;;;;;;;;;
539;44;45;46;47;;;;;;
540;47;;;;;;;;;
541;;;;;;;;;;
542;;;;;;;;;;
543;47;;;;;;;;;
544;41;;;;;;;;;
545;41;;;;;;;;;
546;43;;;;;;;;;
547;44;45;;;;;;;;
548;;;;;;;;;;
549;;;;;;;;;;
550;41;42;;;;;;;;
551;42;;;;;;;;;
552;;;;;;;;;;
553;43;44;45;;;;;;;
554;42;43;44;45;;;;;;
555;43;44;45;;;;;;;
556;47;;;;;;;;;
557;;;;;;;;;;
558;44;45;46;;;;;;;
559;43;44;45;46;;;;;;
560;43;;;;;;;;;
561;44;45;;;;;;;;
562;;;;;;;;;;
563;;;;;;;;;;
564;;;;;;;;;;
565;46;47;;;;;;;;
566;45;46;47;;;;;;;
567;46;;;;;;;;;
568;;;;;;;;;;
569;47;;;;;;;;;
570;47;;;;;;;;;
571;47;;;;;;;;;
572;46;;;;;;;;;
573;47;;;;;;;;;
574;46;;;;;;;;;
575;;;;;;;;;;
576;;;;;;;;;;
577;47;;;;;;;;;
578;46;47;;;;;;;;
579;;;;;;;;;;
580;;;;;;;;;;
581;;;;;;;;;;
582;;;;;;;;;;
583;;;;;;;;;;
